Year League,Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500,ExInn,Ties
1930 AL,8,Boston Red Sox,52,102,0.338,50.0,200.0,4.0,5.3,-1.3,0.2,-1.1,57-97,-5.0,30-46,22-56,17-36,42-76,10-26,22-66,30-36,4-13,
1875 NA_Season,1,Boston Red Stockings,71,8,0.899,--,,10.1,4.2,6.0,-0.8,5.1,66-13,5.0,37-0,34-8,7-2,60-8,5-0,30-5,41-3,,
1875 NA_Season,2,Hartford Dark Blues,54,28,0.659,18.5,22.0,6.5,4.0,2.5,-0.8,1.7,58-24,-4.0,26-11,28-17,5-6,45-27,4-0,14-21,40-7,,
1875 NA_Season,3,Philadelphia Athletics,53,20,0.726,15.0,15.0,9.1,5.2,3.9,-0.4,3.4,54-19,-1.0,28-7,25-13,6-2,44-19,4-0,19-15,34-5,,
1875 NA_Season,4,St. Louis Brown Stockings,39,29,0.574,26.5,46.0,5.5,5.3,0.2,0.2,0.5,35-33,4.0,21-12,18-17,7-4,38-29,0-0,13-23,26-6,,
1875 NA_Season,5,Philadelphia Whites,37,31,0.544,28.5,54.0,6.7,5.4,1.3,-0.1,1.3,41-27,-4.0,16-16,21-15,7-8,29-30,4-0,11-23,26-8,,
1875 NA_Season,6,Chicago White Stockings,30,37,0.448,35.0,86.5,5.5,6.0,-0.5,0.6,0.1,31-36,-1.0,16-16,14-21,5-5,27-37,2-0,15-33,15-4,,
1875 NA_Season,7,New York Mutuals,30,38,0.441,35.5,89.5,4.6,6.0,-1.4,0.4,-1.0,26-42,4.0,13-21,17-17,7-4,21-37,3-0,10-34,20-4,,
1875 NA_Season,8,New Haven Elm Citys,7,40,0.149,48.0,218.0,3.6,8.4,-4.8,0.3,-4.5,8-39,-1.0,3-24,4-16,1-8,6-37,0-1,3-26,4-14,,
1875 NA_Season,9,Washington Nationals,5,23,0.179,40.5,135.5,3.8,12.1,-8.3,0.6,-7.7,3-25,2.0,2-10,3-13,2-0,3-22,0-0,0-20,5-3,,
1875 NA_Season,10,St. Louis Red Stockings,4,15,0.211,37.0,100.5,3.2,8.5,-5.3,-1.3,-6.6,3-16,1.0,3-11,1-4,0-2,4-15,0-0,0-7,4-8,,
1875 NA_Season,11,Philadelphia Centennials,2,12,0.143,36.5,96.5,5.0,9.9,-4.9,2.1,-2.7,3-11,-1.0,0-7,2-5,0-1,2-12,0-0,1-10,1-2,,
1875 NA_Season,12,Brooklyn Atlantics,2,42,0.045,51.5,260.0,3.0,10.0,-7.0,1.4,-5.6,4-40,-2.0,1-26,1-16,1-3,1-40,0-0,0-32,2-10,,
